2021-11-05 15:03:09,183 - INFO - python main.py algo -dl d1 -ll 2 3 -ol I W RI RW -ml brute -gl 20 -bl 1 2 3
2021-11-05 15:03:09,183 - INFO - ====================_2.0
2021-11-05 15:03:09,210 - INFO - load:../zdata/residence_217_spl.pkl
2021-11-05 15:03:09,211 - INFO - Finish random requester set R and supplier set S 
2021-11-05 15:03:11,488 - INFO - compute (0.05, 0.35)
2021-11-05 15:03:11,525 - INFO - compute (0.05, 0.4)
2021-11-05 15:03:11,569 - INFO - compute (0.05, 0.45)
2021-11-05 15:03:11,615 - INFO - compute (0.05, 0.5)
2021-11-05 15:03:11,674 - INFO - compute (0.05, 0.55)
2021-11-05 15:03:11,746 - INFO - compute (0.05, 0.6)
2021-11-05 15:03:11,823 - INFO - compute (0.05, 0.65)
2021-11-05 15:03:11,922 - INFO - compute (0.05, 0.7)
2021-11-05 15:03:12,023 - INFO - compute (0.05, 0.75)
2021-11-05 15:03:12,129 - INFO - compute (0.05, 0.8)
2021-11-05 15:03:12,232 - INFO - compute (0.05, 0.85)
2021-11-05 15:03:12,332 - INFO - compute (0.05, 0.9)
2021-11-05 15:03:12,438 - INFO - compute (0.05, 0.95)
2021-11-05 15:03:12,541 - INFO - compute (0.05, 1.0)
2021-11-05 15:03:12,644 - INFO - compute (0.1, 0.0)
2021-11-05 15:03:12,647 - INFO - compute (0.1, 0.05)
2021-11-05 15:03:12,649 - INFO - compute (0.1, 0.1)
2021-11-05 15:03:12,652 - INFO - compute (0.1, 0.15)
2021-11-05 15:03:12,658 - INFO - compute (0.1, 0.2)
2021-11-05 15:03:12,666 - INFO - compute (0.1, 0.25)
2021-11-05 15:03:12,680 - INFO - compute (0.1, 0.3)
2021-11-05 15:03:12,705 - INFO - compute (0.1, 0.35)
2021-11-05 15:03:12,742 - INFO - compute (0.1, 0.4)
2021-11-05 15:03:12,780 - INFO - compute (0.1, 0.45)
2021-11-05 15:03:12,833 - INFO - compute (0.1, 0.5)
2021-11-05 15:03:12,917 - INFO - compute (0.1, 0.55)
2021-11-05 15:03:13,001 - INFO - compute (0.1, 0.6)
2021-11-05 15:03:13,094 - INFO - compute (0.1, 0.65)
2021-11-05 15:03:13,197 - INFO - compute (0.1, 0.7)
2021-11-05 15:03:13,319 - INFO - compute (0.1, 0.75)
2021-11-05 15:03:13,426 - INFO - compute (0.1, 0.8)
2021-11-05 15:03:13,530 - INFO - compute (0.1, 0.85)
2021-11-05 15:03:13,638 - INFO - compute (0.1, 0.9)
2021-11-05 15:03:13,739 - INFO - compute (0.1, 0.95)
2021-11-05 15:03:13,850 - INFO - compute (0.1, 1.0)
2021-11-05 15:03:13,952 - INFO - compute (0.15, 0.0)
2021-11-05 15:03:13,955 - INFO - compute (0.15, 0.05)
2021-11-05 15:03:13,957 - INFO - compute (0.15, 0.1)
2021-11-05 15:03:13,959 - INFO - compute (0.15, 0.15)
2021-11-05 15:03:13,965 - INFO - compute (0.15, 0.2)
2021-11-05 15:03:13,973 - INFO - compute (0.15, 0.25)
2021-11-05 15:03:13,984 - INFO - compute (0.15, 0.3)
2021-11-05 15:03:14,002 - INFO - compute (0.15, 0.35)
2021-11-05 15:03:14,033 - INFO - compute (0.15, 0.4)
2021-11-05 15:03:14,081 - INFO - compute (0.15, 0.45)
2021-11-05 15:03:14,142 - INFO - compute (0.15, 0.5)
2021-11-05 15:03:14,198 - INFO - compute (0.15, 0.55)
2021-11-05 15:03:14,265 - INFO - compute (0.15, 0.6)
2021-11-05 15:03:14,348 - INFO - compute (0.15, 0.65)
2021-11-05 15:03:14,440 - INFO - compute (0.15, 0.7)
2021-11-05 15:03:14,545 - INFO - compute (0.15, 0.75)
2021-11-05 15:03:14,653 - INFO - compute (0.15, 0.8)
2021-11-05 15:03:14,757 - INFO - compute (0.15, 0.85)
2021-11-05 15:03:14,861 - INFO - compute (0.15, 0.9)
2021-11-05 15:03:14,963 - INFO - compute (0.15, 0.95)
2021-11-05 15:03:15,066 - INFO - compute (0.15, 1.0)
2021-11-05 15:03:15,172 - INFO - compute (0.2, 0.0)
2021-11-05 15:03:15,174 - INFO - compute (0.2, 0.05)
2021-11-05 15:03:15,176 - INFO - compute (0.2, 0.1)
2021-11-05 15:03:15,178 - INFO - compute (0.2, 0.15)
2021-11-05 15:03:15,185 - INFO - compute (0.2, 0.2)
2021-11-05 15:03:15,193 - INFO - compute (0.2, 0.25)
2021-11-05 15:03:15,203 - INFO - compute (0.2, 0.3)
2021-11-05 15:03:15,221 - INFO - compute (0.2, 0.35)
2021-11-05 15:03:15,250 - INFO - compute (0.2, 0.4)
2021-11-05 15:03:15,298 - INFO - compute (0.2, 0.45)
2021-11-05 15:03:15,349 - INFO - compute (0.2, 0.5)
2021-11-05 15:03:15,403 - INFO - compute (0.2, 0.55)
2021-11-05 15:03:15,473 - INFO - compute (0.2, 0.6)
2021-11-05 15:03:15,601 - INFO - compute (0.2, 0.65)
2021-11-05 15:03:15,779 - INFO - compute (0.2, 0.7)
2021-11-05 15:03:15,967 - INFO - compute (0.2, 0.75)
2021-11-05 15:03:16,164 - INFO - compute (0.2, 0.8)
2021-11-05 15:03:16,357 - INFO - compute (0.2, 0.85)
2021-11-05 15:03:16,552 - INFO - compute (0.2, 0.9)
2021-11-05 15:03:16,746 - INFO - compute (0.2, 0.95)
2021-11-05 15:03:16,938 - INFO - compute (0.2, 1.0)
2021-11-05 15:03:17,131 - INFO - compute (0.25, 0.0)
2021-11-05 15:03:17,136 - INFO - compute (0.25, 0.05)
2021-11-05 15:03:17,140 - INFO - compute (0.25, 0.1)
2021-11-05 15:03:17,144 - INFO - compute (0.25, 0.15)
2021-11-05 15:03:17,156 - INFO - compute (0.25, 0.2)
2021-11-05 15:03:17,173 - INFO - compute (0.25, 0.25)
2021-11-05 15:03:17,193 - INFO - compute (0.25, 0.3)
2021-11-05 15:03:17,227 - INFO - compute (0.25, 0.35)
2021-11-05 15:03:17,282 - INFO - compute (0.25, 0.4)
2021-11-05 15:03:17,360 - INFO - compute (0.25, 0.45)
2021-11-05 15:03:17,449 - INFO - compute (0.25, 0.5)
2021-11-05 15:03:17,559 - INFO - compute (0.25, 0.55)
2021-11-05 15:03:17,682 - INFO - compute (0.25, 0.6)
2021-11-05 15:03:17,834 - INFO - compute (0.25, 0.65)
2021-11-05 15:03:18,008 - INFO - compute (0.25, 0.7)
2021-11-05 15:03:18,197 - INFO - compute (0.25, 0.75)
2021-11-05 15:03:18,390 - INFO - compute (0.25, 0.8)
2021-11-05 15:03:18,587 - INFO - compute (0.25, 0.85)
2021-11-05 15:03:18,781 - INFO - compute (0.25, 0.9)
2021-11-05 15:03:18,974 - INFO - compute (0.25, 0.95)
2021-11-05 15:03:19,168 - INFO - compute (0.25, 1.0)
2021-11-05 15:03:19,365 - INFO - compute (0.3, 0.0)
2021-11-05 15:03:19,371 - INFO - compute (0.3, 0.05)
2021-11-05 15:03:19,375 - INFO - compute (0.3, 0.1)
2021-11-05 15:03:19,379 - INFO - compute (0.3, 0.15)
2021-11-05 15:03:19,393 - INFO - compute (0.3, 0.2)
2021-11-05 15:03:19,408 - INFO - compute (0.3, 0.25)
2021-11-05 15:03:19,430 - INFO - compute (0.3, 0.3)
2021-11-05 15:03:19,465 - INFO - compute (0.3, 0.35)
2021-11-05 15:03:19,520 - INFO - compute (0.3, 0.4)
2021-11-05 15:03:19,606 - INFO - compute (0.3, 0.45)
2021-11-05 15:03:19,707 - INFO - compute (0.3, 0.5)
2021-11-05 15:03:19,828 - INFO - compute (0.3, 0.55)
2021-11-05 15:03:19,952 - INFO - compute (0.3, 0.6)
2021-11-05 15:03:20,118 - INFO - compute (0.3, 0.65)
2021-11-05 15:03:20,297 - INFO - compute (0.3, 0.7)
2021-11-05 15:03:20,499 - INFO - compute (0.3, 0.75)
2021-11-05 15:03:20,703 - INFO - compute (0.3, 0.8)
2021-11-05 15:03:20,917 - INFO - compute (0.3, 0.85)
2021-11-05 15:03:21,120 - INFO - compute (0.3, 0.9)
2021-11-05 15:03:21,334 - INFO - compute (0.3, 0.95)
2021-11-05 15:03:21,546 - INFO - compute (0.3, 1.0)
2021-11-05 15:03:21,769 - INFO - compute (0.35, 0.0)
2021-11-05 15:03:21,774 - INFO - compute (0.35, 0.05)
2021-11-05 15:03:21,778 - INFO - compute (0.35, 0.1)
2021-11-05 15:03:21,783 - INFO - compute (0.35, 0.15)
2021-11-05 15:03:21,796 - INFO - compute (0.35, 0.2)
2021-11-05 15:03:21,813 - INFO - compute (0.35, 0.25)
2021-11-05 15:03:21,833 - INFO - compute (0.35, 0.3)
2021-11-05 15:03:21,871 - INFO - compute (0.35, 0.35)
2021-11-05 15:03:21,921 - INFO - compute (0.35, 0.4)
2021-11-05 15:03:21,992 - INFO - compute (0.35, 0.45)
2021-11-05 15:03:22,091 - INFO - compute (0.35, 0.5)
2021-11-05 15:03:22,206 - INFO - compute (0.35, 0.55)
2021-11-05 15:03:22,327 - INFO - compute (0.35, 0.6)
2021-11-05 15:03:22,479 - INFO - compute (0.35, 0.65)
2021-11-05 15:03:22,669 - INFO - compute (0.35, 0.7)
2021-11-05 15:03:22,880 - INFO - compute (0.35, 0.75)
2021-11-05 15:03:23,087 - INFO - compute (0.35, 0.8)
2021-11-05 15:03:23,288 - INFO - compute (0.35, 0.85)
2021-11-05 15:03:23,499 - INFO - compute (0.35, 0.9)
2021-11-05 15:03:23,756 - INFO - compute (0.35, 0.95)
2021-11-05 15:03:24,256 - INFO - compute (0.35, 1.0)
2021-11-05 15:03:24,543 - INFO - compute (0.4, 0.0)
2021-11-05 15:03:24,547 - INFO - compute (0.4, 0.05)
2021-11-05 15:03:24,554 - INFO - compute (0.4, 0.1)
2021-11-05 15:03:24,559 - INFO - compute (0.4, 0.15)
2021-11-05 15:03:24,572 - INFO - compute (0.4, 0.2)
2021-11-05 15:03:24,591 - INFO - compute (0.4, 0.25)
2021-11-05 15:03:24,624 - INFO - compute (0.4, 0.3)
2021-11-05 15:03:24,664 - INFO - compute (0.4, 0.35)
2021-11-05 15:03:24,736 - INFO - compute (0.4, 0.4)
2021-11-05 15:03:24,841 - INFO - compute (0.4, 0.45)
2021-11-05 15:03:24,940 - INFO - compute (0.4, 0.5)
2021-11-05 15:03:25,055 - INFO - compute (0.4, 0.55)
2021-11-05 15:03:25,172 - INFO - compute (0.4, 0.6)
2021-11-05 15:03:25,315 - INFO - compute (0.4, 0.65)
2021-11-05 15:03:25,518 - INFO - compute (0.4, 0.7)
2021-11-05 15:03:25,741 - INFO - compute (0.4, 0.75)
2021-11-05 15:03:25,963 - INFO - compute (0.4, 0.8)
2021-11-05 15:03:26,149 - INFO - compute (0.4, 0.85)
2021-11-05 15:03:26,352 - INFO - compute (0.4, 0.9)
2021-11-05 15:03:26,552 - INFO - compute (0.4, 0.95)
2021-11-05 15:03:26,758 - INFO - compute (0.4, 1.0)
2021-11-05 15:03:26,949 - INFO - compute (0.45, 0.0)
2021-11-05 15:03:26,955 - INFO - compute (0.45, 0.05)
2021-11-05 15:03:26,959 - INFO - compute (0.45, 0.1)
2021-11-05 15:03:26,962 - INFO - compute (0.45, 0.15)
2021-11-05 15:03:26,970 - INFO - compute (0.45, 0.2)
2021-11-05 15:03:26,980 - INFO - compute (0.45, 0.25)
2021-11-05 15:03:26,995 - INFO - compute (0.45, 0.3)
2021-11-05 15:03:27,025 - INFO - compute (0.45, 0.35)
2021-11-05 15:03:27,061 - INFO - compute (0.45, 0.4)
2021-11-05 15:03:27,109 - INFO - compute (0.45, 0.45)
2021-11-05 15:03:27,212 - INFO - compute (0.45, 0.5)
2021-11-05 15:03:27,347 - INFO - compute (0.45, 0.55)
2021-11-05 15:03:27,442 - INFO - compute (0.45, 0.6)
2021-11-05 15:03:27,555 - INFO - compute (0.45, 0.65)
2021-11-05 15:03:27,704 - INFO - compute (0.45, 0.7)
2021-11-05 15:03:27,850 - INFO - compute (0.45, 0.75)
2021-11-05 15:03:27,987 - INFO - compute (0.45, 0.8)
2021-11-05 15:03:28,118 - INFO - compute (0.45, 0.85)
2021-11-05 15:03:28,244 - INFO - compute (0.45, 0.9)
2021-11-05 15:03:28,369 - INFO - compute (0.45, 0.95)
2021-11-05 15:03:28,511 - INFO - compute (0.45, 1.0)
2021-11-05 15:03:28,645 - INFO - compute (0.5, 0.0)
2021-11-05 15:03:28,647 - INFO - compute (0.5, 0.05)
2021-11-05 15:03:28,650 - INFO - compute (0.5, 0.1)
2021-11-05 15:03:28,652 - INFO - compute (0.5, 0.15)
2021-11-05 15:03:28,659 - INFO - compute (0.5, 0.2)
2021-11-05 15:03:28,668 - INFO - compute (0.5, 0.25)
2021-11-05 15:03:28,680 - INFO - compute (0.5, 0.3)
2021-11-05 15:03:28,699 - INFO - compute (0.5, 0.35)
2021-11-05 15:03:28,728 - INFO - compute (0.5, 0.4)
2021-11-05 15:03:28,767 - INFO - compute (0.5, 0.45)
2021-11-05 15:03:28,814 - INFO - compute (0.5, 0.5)
2021-11-05 15:03:28,872 - INFO - compute (0.5, 0.55)
2021-11-05 15:03:28,938 - INFO - compute (0.5, 0.6)
2021-11-05 15:03:29,015 - INFO - compute (0.5, 0.65)
2021-11-05 15:03:29,108 - INFO - compute (0.5, 0.7)
2021-11-05 15:03:29,204 - INFO - compute (0.5, 0.75)
2021-11-05 15:03:29,324 - INFO - compute (0.5, 0.8)
2021-11-05 15:03:29,424 - INFO - compute (0.5, 0.85)
2021-11-05 15:03:29,527 - INFO - compute (0.5, 0.9)
2021-11-05 15:03:29,626 - INFO - compute (0.5, 0.95)
2021-11-05 15:03:29,729 - INFO - compute (0.5, 1.0)
2021-11-05 15:03:29,840 - INFO - compute (0.55, 0.0)
2021-11-05 15:03:29,842 - INFO - compute (0.55, 0.05)
2021-11-05 15:03:29,844 - INFO - compute (0.55, 0.1)
2021-11-05 15:03:29,846 - INFO - compute (0.55, 0.15)
2021-11-05 15:03:29,852 - INFO - compute (0.55, 0.2)
2021-11-05 15:03:29,860 - INFO - compute (0.55, 0.25)
2021-11-05 15:03:29,868 - INFO - compute (0.55, 0.3)
2021-11-05 15:03:29,883 - INFO - compute (0.55, 0.35)
2021-11-05 15:03:29,906 - INFO - compute (0.55, 0.4)
2021-11-05 15:03:29,941 - INFO - compute (0.55, 0.45)
2021-11-05 15:03:29,980 - INFO - compute (0.55, 0.5)
2021-11-05 15:03:30,029 - INFO - compute (0.55, 0.55)
2021-11-05 15:03:30,084 - INFO - compute (0.55, 0.6)
2021-11-05 15:03:30,146 - INFO - compute (0.55, 0.65)
2021-11-05 15:03:30,217 - INFO - compute (0.55, 0.7)
2021-11-05 15:03:30,308 - INFO - compute (0.55, 0.75)
2021-11-05 15:03:30,389 - INFO - compute (0.55, 0.8)
2021-11-05 15:03:30,476 - INFO - compute (0.55, 0.85)
2021-11-05 15:03:30,558 - INFO - compute (0.55, 0.9)
2021-11-05 15:03:30,639 - INFO - compute (0.55, 0.95)
2021-11-05 15:03:30,725 - INFO - compute (0.55, 1.0)
2021-11-05 15:03:30,807 - INFO - compute (0.6, 0.0)
2021-11-05 15:03:30,809 - INFO - compute (0.6, 0.05)
2021-11-05 15:03:30,810 - INFO - compute (0.6, 0.1)
2021-11-05 15:03:30,812 - INFO - compute (0.6, 0.15)
2021-11-05 15:03:30,816 - INFO - compute (0.6, 0.2)
2021-11-05 15:03:30,822 - INFO - compute (0.6, 0.25)
2021-11-05 15:03:30,829 - INFO - compute (0.6, 0.3)
2021-11-05 15:03:30,842 - INFO - compute (0.6, 0.35)
2021-11-05 15:03:30,860 - INFO - compute (0.6, 0.4)
2021-11-05 15:03:30,887 - INFO - compute (0.6, 0.45)
2021-11-05 15:03:30,919 - INFO - compute (0.6, 0.5)
2021-11-05 15:03:30,965 - INFO - compute (0.6, 0.55)
2021-11-05 15:03:31,009 - INFO - compute (0.6, 0.6)
2021-11-05 15:03:31,058 - INFO - compute (0.6, 0.65)
2021-11-05 15:03:31,117 - INFO - compute (0.6, 0.7)
2021-11-05 15:03:31,181 - INFO - compute (0.6, 0.75)
2021-11-05 15:03:31,245 - INFO - compute (0.6, 0.8)
2021-11-05 15:03:31,310 - INFO - compute (0.6, 0.85)
2021-11-05 15:03:31,377 - INFO - compute (0.6, 0.9)
2021-11-05 15:03:31,442 - INFO - compute (0.6, 0.95)
2021-11-05 15:03:31,505 - INFO - compute (0.6, 1.0)
2021-11-05 15:03:31,572 - INFO - compute (0.65, 0.0)
2021-11-05 15:03:31,573 - INFO - compute (0.65, 0.05)
2021-11-05 15:03:31,575 - INFO - compute (0.65, 0.1)
2021-11-05 15:03:31,576 - INFO - compute (0.65, 0.15)
2021-11-05 15:03:31,579 - INFO - compute (0.65, 0.2)
2021-11-05 15:03:31,583 - INFO - compute (0.65, 0.25)
2021-11-05 15:03:31,587 - INFO - compute (0.65, 0.3)
2021-11-05 15:03:31,595 - INFO - compute (0.65, 0.35)
2021-11-05 15:03:31,607 - INFO - compute (0.65, 0.4)
2021-11-05 15:03:31,623 - INFO - compute (0.65, 0.45)
2021-11-05 15:03:31,643 - INFO - compute (0.65, 0.5)
2021-11-05 15:03:31,668 - INFO - compute (0.65, 0.55)
2021-11-05 15:03:31,700 - INFO - compute (0.65, 0.6)
2021-11-05 15:03:31,733 - INFO - compute (0.65, 0.65)
2021-11-05 15:03:31,773 - INFO - compute (0.65, 0.7)
2021-11-05 15:03:31,816 - INFO - compute (0.65, 0.75)
2021-11-05 15:03:31,858 - INFO - compute (0.65, 0.8)
2021-11-05 15:03:31,919 - INFO - compute (0.65, 0.85)
2021-11-05 15:03:31,979 - INFO - compute (0.65, 0.9)
2021-11-05 15:03:32,039 - INFO - compute (0.65, 0.95)
2021-11-05 15:03:32,098 - INFO - compute (0.65, 1.0)
2021-11-05 15:03:32,154 - INFO - compute (0.7, 0.0)
2021-11-05 15:03:32,155 - INFO - compute (0.7, 0.05)
2021-11-05 15:03:32,156 - INFO - compute (0.7, 0.1)
2021-11-05 15:03:32,158 - INFO - compute (0.7, 0.15)
2021-11-05 15:03:32,160 - INFO - compute (0.7, 0.2)
2021-11-05 15:03:32,165 - INFO - compute (0.7, 0.25)
2021-11-05 15:03:32,171 - INFO - compute (0.7, 0.3)
2021-11-05 15:03:32,179 - INFO - compute (0.7, 0.35)
2021-11-05 15:03:32,190 - INFO - compute (0.7, 0.4)
2021-11-05 15:03:32,206 - INFO - compute (0.7, 0.45)
2021-11-05 15:03:32,224 - INFO - compute (0.7, 0.5)
2021-11-05 15:03:32,244 - INFO - compute (0.7, 0.55)
2021-11-05 15:03:32,267 - INFO - compute (0.7, 0.6)
2021-11-05 15:03:32,294 - INFO - compute (0.7, 0.65)
2021-11-05 15:03:32,335 - INFO - compute (0.7, 0.7)
2021-11-05 15:03:32,372 - INFO - compute (0.7, 0.75)
2021-11-05 15:03:32,408 - INFO - compute (0.7, 0.8)
2021-11-05 15:03:32,444 - INFO - compute (0.7, 0.85)
2021-11-05 15:03:32,479 - INFO - compute (0.7, 0.9)
2021-11-05 15:03:32,514 - INFO - compute (0.7, 0.95)
2021-11-05 15:03:32,550 - INFO - compute (0.7, 1.0)
2021-11-05 15:03:32,588 - INFO - compute (0.75, 0.0)
2021-11-05 15:03:32,589 - INFO - compute (0.75, 0.05)
2021-11-05 15:03:32,590 - INFO - compute (0.75, 0.1)
2021-11-05 15:03:32,591 - INFO - compute (0.75, 0.15)
2021-11-05 15:03:32,593 - INFO - compute (0.75, 0.2)
2021-11-05 15:03:32,596 - INFO - compute (0.75, 0.25)
2021-11-05 15:03:32,600 - INFO - compute (0.75, 0.3)
2021-11-05 15:03:32,608 - INFO - compute (0.75, 0.35)
2021-11-05 15:03:32,617 - INFO - compute (0.75, 0.4)
2021-11-05 15:03:32,632 - INFO - compute (0.75, 0.45)
2021-11-05 15:03:32,650 - INFO - compute (0.75, 0.5)
2021-11-05 15:03:32,674 - INFO - compute (0.75, 0.55)
